Language Pair,Sentence ID,Source,Hypothesis,Reference,Sentence BLEU
IT→EN,18,Lei ha studiato medicina per sei anni.,She studied medicine for six years.,She studied medicine for six years.,100.0
IT→EN,19,I fiori sono magnifici in primavera.,The flowers are magnificent in spring.,The flowers are magnificent in spring.,100.0
IT→EN,20,Devo andare adesso.,I have to go now.,I have to leave now.,37.99
PT→EN,1,"Bom dia, como você está?","Good morning, how are you?","Good morning, how are you?",100.0
PT→EN,2,Meu nome é João e moro em Lisboa.,My name is João and I live in Lisbon.,My name is João and I live in Lisbon.,100.0
PT→EN,3,O gato dorme no sofá.,The cat sleeps on the couch.,The cat sleeps on the sofa.,64.35
PT→EN,4,Hoje o tempo está bom.,Today's good weather.,Today the weather is good.,12.75
PT→EN,5,Eu gosto de comer pão ao pequeno-almoço.,I like to eat bread for breakfast.,I like eating bread for breakfast.,41.11
PT→EN,6,A reunião começa às dez horas.,The meeting starts at ten o'clock.,The meeting starts at ten o'clock.,100.0
PT→EN,7,"Você pode me ajudar, por favor?","Can you help me, please?","Can you help me, please?",100.0
PT→EN,8,O livro é muito interessante.,The book is very interesting.,The book is very interesting.,100.0
PT→EN,9,Vamos ao mercado este fim de semana.,We're going to the market this weekend.,We are going to the market this weekend.,74.21
PT→EN,10,As crianças brincam no jardim.,Kids play in the garden.,The children play in the garden.,64.32
PT→EN,11,Ela fala três idiomas diferentes.,She speaks three different languages.,She speaks three different languages.,100.0
PT→EN,12,O trem chega em cinco minutos.,The train arrives in five minutes.,The train arrives in five minutes.,100.0
PT→EN,13,"Eu gostaria de uma xícara de café, por favor.","I'd like a cup of coffee, please.","I would like a cup of coffee, please.",77.26
PT→EN,14,Portugal é um país lindo.,Portugal is a beautiful country.,Portugal is a beautiful country.,100.0
PT→EN,15,Ele trabalha numa grande empresa.,He works in a big company.,He works in a large company.,48.89
PT→EN,16,Precisamos de mais tempo.,We need more time.,We need more time.,100.0
PT→EN,17,O filme começou há uma hora.,The film started an hour ago.,The movie started an hour ago.,64.35
PT→EN,18,Ela estudou medicina durante seis anos.,She studied medicine for six years.,She studied medicine for six years.,100.0
PT→EN,19,As flores são magníficas na primavera.,The flowers are magnificent in spring.,The flowers are magnificent in spring.,100.0
PT→EN,20,Eu preciso ir agora.,I need to go now.,I have to leave now.,19.3
